title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
Casper,1995,1990s,Fantasy,Blockbuster,50000000.0,287928194.0,475.856388,6.2,51.0,49.0
Clockers,1995,1990s,Mystery,High,25000000.0,13071518.0,-47.713928,6.9,71.0,74.0
Congo,1995,1990s,Action,Blockbuster,50000000.0,152022101.0,204.044202,5.3,22.0,29.0
Crimson Tide,1995,1990s,Action,Blockbuster,53000000.0,157387195.0,196.9569716981132,7.4,88.0,83.0
Desperado,1995,1990s,Thriller,Mid,7000000.0,25405445.0,262.93492857142854,7.1,,
Devil in a Blue Dress,1995,1990s,Drama,High,27000000.0,16140822.0,-40.21917777777777,6.8,88.0,70.0
Die Hard: With a Vengeance,1995,1990s,Action,Blockbuster,90000000.0,366101666.0,306.77962888888885,7.6,59.0,83.0
First Knight,1995,1990s,Action,Blockbuster,55000000.0,127600435.0,132.0007909090909,6.0,43.0,55.0
Hackers,1995,1990s,Action,High,20000000.0,7563728.0,-62.18136,6.2,33.0,68.0
Johnny Mnemonic,1995,1990s,Adventure,High,25000000.0,19075720.0,-23.69712,5.6,12.0,31.0
Judge Dredd,1995,1990s,Science Fiction,Blockbuster,90000000.0,113493481.0,26.10386777777778,5.6,20.0,30.0
Kids,1995,1990s,Drama,Low,1500000.0,7412216.0,394.14773333333335,7.0,,
Living in Oblivion,1995,1990s,Drama,Low,500000.0,1148752.0,129.7504,7.5,88.0,87.0
Mallrats,1995,1990s,Romance,Low,6000000.0,2122561.0,-64.62398333333333,7.0,56.0,82.0
Mighty Morphin Power Rangers: The Movie,1995,1990s,Action,Mid,15000000.0,66000000.0,340.0,5.3,,
The Net,1995,1990s,Crime,High,22000000.0,110627965.0,402.8543863636363,6.0,41.0,44.0
Party Girl,1995,1990s,Comedy,Low,150000.0,472370.0,214.91333333333333,6.5,,
The Scarlet Letter,1995,1990s,Drama,Blockbuster,50000000.0,10382407.0,-79.235186,5.4,13.0,41.0
Showgirls,1995,1990s,Drama,Blockbuster,45000000.0,20350754.0,-54.77610222222222,5.2,21.0,37.0
Smoke,1995,1990s,Comedy,Mid,7000000.0,8349430.0,19.277571428571427,7.4,93.0,89.0
Species,1995,1990s,Science Fiction,High,35000000.0,113374103.0,223.92600857142855,5.9,43.0,31.0
Strange Days,1995,1990s,Crime,Blockbuster,42000000.0,7959291.0,-81.04930714285715,7.2,,
The Tie That Binds,1995,1990s,Thriller,Mid,14000000.0,5780000.0,-58.71428571428572,5.0,,
Under Siege 2: Dark Territory,1995,1990s,Action,Blockbuster,60000000.0,104324083.0,73.87347166666667,5.6,34.0,38.0
A Walk in the Clouds,1995,1990s,Drama,High,20000000.0,50012507.0,150.062535,6.7,44.0,75.0
Waterworld,1995,1990s,Adventure,Blockbuster,175000000.0,264218220.0,50.98184,6.3,46.0,43.0
Burnt by the Sun,1994,1990s,Drama,Low,2800000.0,2616503.0,-6.553464285714286,7.8,80.0,94.0
Before Sunrise,1995,1990s,Drama,Low,2500000.0,5535405.0,121.4162,8.1,100.0,93.0
Billy Madison,1995,1990s,Comedy,Mid,10000000.0,26488734.0,164.88734,6.4,40.0,79.0
Boys on the Side,1995,1990s,Comedy,High,21000000.0,23450000.0,11.666666666666666,6.5,74.0,69.0
Clerks,1994,1990s,Comedy,Low,27000.0,3151130.0,11570.851851851852,7.7,89.0,89.0
Don Juan DeMarco,1994,1990s,Romance,High,25000000.0,22200000.0,-11.2,6.7,69.0,68.0
Disclosure,1994,1990s,Drama,Blockbuster,55000000.0,214015089.0,289.1183436363636,6.2,59.0,41.0
Dumb and Dumber,1994,1990s,Comedy,Mid,16000000.0,247275374.0,1445.4710875,7.3,68.0,84.0
Ed Wood,1994,1990s,Comedy,High,18000000.0,5887457.0,-67.29190555555556,7.8,92.0,88.0
Hideaway,1995,1990s,Drama,Mid,15000000.0,12201255.0,-18.6583,5.3,20.0,39.0
Hoop Dreams,1994,1990s,Documentary,Low,700000.0,7830611.0,1018.6587142857144,8.3,98.0,93.0
Heavenly Creatures,1994,1990s,Drama,Low,5000000.0,3049135.0,-39.0173,7.2,92.0,83.0
Houseguest,1995,1990s,Comedy,Mid,10500000.0,26325256.0,150.7167238095238,6.0,14.0,55.0
Interview with the Vampire,1994,1990s,Horror,Blockbuster,60000000.0,223664608.0,272.77434666666664,7.5,63.0,86.0
Jefferson in Paris,1995,1990s,Drama,Mid,14000000.0,2474000.0,-82.32857142857142,5.7,31.0,34.0
Junior,1994,1990s,Comedy,Blockbuster,60000000.0,37000000.0,-38.333333333333336,4.8,36.0,22.0
Star Wars,1977,1970s,Adventure,Mid,11000000.0,775398007.0,6949.072790909091,8.6,,
Like Water for Chocolate,1992,1990s,Drama,Low,2000000.0,21665468.0,983.2734,7.1,,
Legends of the Fall,1994,1990s,Adventure,High,30000000.0,160638883.0,435.4629433333334,7.5,58.0,87.0
Losing Isaiah,1995,1990s,Drama,Mid,17000000.0,7603766.0,-55.27196470588235,6.4,45.0,73.0
Mary Shelley's Frankenstein,1994,1990s,Drama,Blockbuster,45000000.0,112006296.0,148.90288,6.3,38.0,49.0
Nell,1994,1990s,Drama,High,31000000.0,106683817.0,244.14134516129036,6.5,55.0,64.0
Natural Born Killers,1994,1990s,Crime,High,34000000.0,50282766.0,47.890488235294114,7.2,48.0,81.0
Outbreak,1995,1990s,Action,Blockbuster,50000000.0,189859560.0,279.71912,6.6,60.0,56.0
Leon: The Professional,1994,1990s,Thriller,Mid,16000000.0,45284974.0,183.0310875,8.5,,
The Perez Family,1995,1990s,Comedy,Mid,11000000.0,2832826.0,-74.24703636363637,6.0,65.0,59.0
Pulp Fiction,1994,1990s,Thriller,Mid,8000000.0,213928762.0,2574.109525,8.8,92.0,96.0
Pushing Hands,1992,1990s,Comedy,Low,400000.0,152322.0,-61.919500000000006,7.2,,
The Quick and the Dead,1995,1990s,Action,High,32000000.0,18552460.0,-42.0235625,6.5,59.0,53.0
Roommates,1995,1990s,Drama,High,22000000.0,12400000.0,-43.63636363636363,6.4,29.0,57.0
Prêt-à-Porter,1994,1990s,Drama,Mid,15000000.0,11300653.0,-24.662313333333334,5.2,,
The Swan Princess,1994,1990s,Animation,High,35000000.0,9771658.0,-72.08097714285714,6.5,50.0,66.0
The Specialist,1994,1990s,Action,Blockbuster,45000000.0,170362582.0,278.58351555555555,5.6,7.0,29.0
Stargate,1994,1990s,Action,Blockbuster,55000000.0,196567262.0,257.3950218181818,7.0,53.0,73.0
The Santa Clause,1994,1990s,Fantasy,High,22000000.0,189833357.0,762.8788954545454,6.6,,
The Shawshank Redemption,1994,1990s,Drama,High,25000000.0,28341469.0,13.365875999999998,9.3,91.0,98.0
Tank Girl,1995,1990s,Action,High,25000000.0,4064495.0,-83.74202,5.4,40.0,63.0
Star Trek: Generations,1994,1990s,Science Fiction,High,38000000.0,120000000.0,215.7894736842105,6.6,,
Tales from the Hood,1995,1990s,Crime,Low,6000000.0,12000000.0,100.0,6.6,47.0,68.0
What's Eating Gilbert Grape,1993,1990s,Romance,Mid,11000000.0,10032765.0,-8.793045454545455,7.7,90.0,89.0
Virtuosity,1995,1990s,Action,High,30000000.0,24048000.0,-19.84,5.5,32.0,32.0
While You Were Sleeping,1995,1990s,Comedy,Mid,17000000.0,182057016.0,970.9236235294118,6.8,80.0,79.0
Muriel's Wedding,1994,1990s,Drama,Low,3000000.0,15119639.0,403.9879666666667,7.3,78.0,84.0
Ace Ventura: Pet Detective,1994,1990s,Comedy,Mid,15000000.0,107217396.0,614.7826399999999,6.9,49.0,57.0
Bitter Moon,1992,1990s,Thriller,Low,5000000.0,1862805.0,-62.7439,7.2,65.0,81.0
Clear and Present Danger,1994,1990s,Action,Blockbuster,62000000.0,215887717.0,248.2059951612903,6.9,80.0,74.0
The Client,1994,1990s,Drama,Blockbuster,45000000.0,117615211.0,161.36713555555556,6.7,78.0,69.0
The Crow,1994,1990s,Fantasy,Mid,15000000.0,94000000.0,526.6666666666666,7.5,83.0,90.0
