title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
The Sixth Sense,1999,1990s,Mystery,High,40000000.0,672806292.0,1582.01573,8.2,86.0,90.0
The Thomas Crown Affair,1999,1990s,Drama,Blockbuster,48000000.0,124305181.0,158.96912708333332,6.9,76.0,74.0
Brokedown Palace,1999,1990s,Drama,High,25000000.0,13000000.0,-48.0,6.4,31.0,66.0
Detroit Rock City,1999,1990s,Comedy,Mid,6500000.0,4217115.0,-35.12130769230769,6.8,48.0,82.0
The Raven,1963,1960s,Comedy,Low,350000.0,1499275.0,328.3642857142857,6.5,22.0,46.0
The Pit and the Pendulum,1961,1960s,Fantasy,Low,200000.0,2000000.0,900.0,7.0,56.0,39.0
Damien: Omen II,1978,1970s,Action,Mid,6800000.0,26518355.0,289.9758088235294,6.2,,
Airplane!,1980,1980s,Comedy,Low,3500000.0,83453539.0,2284.386828571429,7.7,97.0,89.0
An American Werewolf in Paris,1997,1990s,Horror,High,22000000.0,26570463.0,20.77483181818182,5.1,,
National Lampoon's Vacation,1983,1980s,Comedy,Mid,15000000.0,61399552.0,309.3303466666667,7.3,93.0,85.0
Big,1988,1980s,Fantasy,High,18000000.0,151668774.0,742.6043,7.3,97.0,82.0
The Pelican Brief,1993,1990s,Drama,Blockbuster,45000000.0,195268056.0,333.92901333333333,6.6,53.0,61.0
Teaching Mrs. Tingle,1999,1990s,Comedy,Mid,13000000.0,8946237.0,-31.18279230769231,5.4,19.0,31.0
Universal Soldier: The Return,1999,1990s,Action,Blockbuster,45000000.0,10667893.0,-76.29357111111112,4.2,5.0,24.0
In Too Deep,1999,1990s,Drama,Mid,7000000.0,14011454.0,100.16362857142856,6.2,39.0,75.0
The 13th Warrior,1999,1990s,Adventure,Blockbuster,160000000.0,61698899.0,-61.438188125,6.6,33.0,65.0
The Astronaut's Wife,1999,1990s,Drama,Blockbuster,75000000.0,19598588.0,-73.86854933333333,5.4,15.0,33.0
Chill Factor,1999,1990s,Action,Blockbuster,70000000.0,11263966.0,-83.90862,5.3,10.0,30.0
Outside Providence,1999,1990s,Romance,Mid,7000000.0,7292175.0,4.173928571428571,6.4,51.0,65.0
Stigmata,1999,1990s,Horror,High,29000000.0,50041732.0,72.55769655172413,6.2,22.0,63.0
Stir of Echoes,1999,1990s,Horror,Mid,12000000.0,21133087.0,76.10905833333334,6.9,67.0,70.0
A Soldier's Story,1984,1980s,Drama,Low,6000000.0,21821347.0,263.6891166666667,7.2,90.0,81.0
American Beauty,1999,1990s,Drama,Mid,15000000.0,356296601.0,2275.3106733333334,8.3,87.0,93.0
Stop Making Sense,1984,1980s,Documentary,Low,1200000.0,4978922.0,314.91016666666667,8.7,100.0,98.0
Blue Streak,1999,1990s,Action,Blockbuster,65000000.0,117758500.0,81.16692307692308,6.4,36.0,65.0
Caligula,1979,1970s,Drama,High,17500000.0,23438120.0,33.932114285714285,5.4,,
A Hard Day's Night,1964,1960s,Comedy,Low,560000.0,12299668.0,2096.369285714285,7.5,98.0,89.0
The Buddy Holly Story,1978,1970s,Drama,Low,1200000.0,14363400.0,1096.95,7.3,100.0,77.0
Fright Night,1985,1980s,Horror,Mid,9000000.0,24922237.0,176.91374444444446,7.0,92.0,76.0
Deliverance,1972,1970s,Drama,Low,2000000.0,46122355.0,2206.11775,7.6,89.0,82.0
Excalibur,1981,1980s,Fantasy,Mid,11000000.0,34967437.0,217.8857909090909,7.3,80.0,80.0
Thumbelina,1994,1990s,Animation,High,28000000.0,11373501.0,-59.38035357142857,6.3,27.0,66.0
Tommy,1975,1970s,Drama,Low,5000000.0,34251525.0,585.0305,6.6,70.0,72.0
Double Jeopardy,1999,1990s,Crime,Blockbuster,70000000.0,177841558.0,154.05936857142856,6.5,27.0,61.0
Guinevere,1999,1990s,Drama,Low,2600000.0,614202.0,-76.37684615384616,5.9,86.0,54.0
Drive Me Crazy,1999,1990s,Drama,Mid,8000000.0,22593409.0,182.4176125,5.8,28.0,53.0
"Mystery, Alaska",1999,1990s,Drama,High,28000000.0,8888143.0,-68.25663214285714,6.7,37.0,66.0
Three Kings,1999,1990s,Action,Blockbuster,75000000.0,108000000.0,44.0,7.1,94.0,77.0
"Happy, Texas",1999,1990s,Comedy,Low,1700000.0,1943649.0,14.33229411764706,6.3,81.0,55.0
The Dark Half,1993,1990s,Mystery,Mid,15000000.0,10611160.0,-29.25893333333333,6.0,58.0,37.0
Monkey Shines,1988,1980s,Thriller,Mid,7000000.0,5344577.0,-23.6489,6.2,,
Phantasm,1979,1970s,Horror,Low,300000.0,11988469.0,3896.156333333333,6.6,74.0,67.0
Psycho II,1983,1980s,Horror,Low,5000000.0,34725000.0,594.5,6.6,59.0,53.0
Random Hearts,1999,1990s,Drama,Blockbuster,64000000.0,74608570.0,16.575890625,5.4,15.0,24.0
Boys Don't Cry,1999,1990s,Crime,Low,2000000.0,11540607.0,477.03035,7.5,88.0,87.0
The Limey,1999,1990s,Action,Mid,10000000.0,3193102.0,-68.06898,6.9,92.0,78.0
Risky Business,1983,1980s,Comedy,Mid,6200000.0,63541777.0,924.867370967742,6.8,92.0,72.0
Total Recall,1990,1990s,Action,Blockbuster,65000000.0,261317921.0,302.02757076923075,7.5,82.0,78.0
Ferris Bueller's Day Off,1986,1980s,Comedy,Low,6000000.0,70136369.0,1068.939483333333,7.8,81.0,92.0
The Year of Living Dangerously,1982,1980s,War,Low,6000000.0,1317657.0,-78.03905,7.1,88.0,77.0
High Plains Drifter,1973,1970s,Western,Low,5500000.0,15700000.0,185.45454545454544,7.4,92.0,86.0
Hang 'em High,1968,1960s,Western,Low,1800000.0,6800000.0,277.77777777777777,7.0,92.0,73.0
Reds,1981,1980s,Drama,High,32000000.0,40382659.0,26.195809375,7.3,89.0,83.0
Niagara,1953,1950s,Crime,Low,1250000.0,8500000.0,580.0,7.0,80.0,68.0
South Pacific,1958,1950s,Music,Low,6000000.0,36800000.0,513.3333333333334,6.8,82.0,69.0
Flashdance,1983,1980s,Drama,Low,4000000.0,92921203.0,2223.030075,6.2,36.0,61.0
The Dirty Dozen,1967,1960s,Action,Low,5400000.0,45300000.0,738.8888888888889,7.7,85.0,90.0
Goldfinger,1964,1960s,Adventure,Low,2500000.0,124881062.0,4895.24248,7.7,99.0,89.0
From Russia with Love,1963,1960s,Action,Low,2000000.0,78898765.0,3844.93825,7.3,95.0,84.0
Dr. No,1962,1960s,Adventure,Low,950000.0,59600000.0,6173.684210526316,7.2,95.0,82.0
The Blue Lagoon,1980,1980s,Romance,Low,4500000.0,58853106.0,1207.8468,5.8,8.0,54.0
A Fistful of Dollars,1964,1960s,Western,Low,200000.0,14500000.0,7150.0,7.9,,
Hard Eight,1996,1990s,Drama,Low,3000000.0,222559.0,-92.58136666666668,7.1,80.0,83.0
Home Alone 2: Lost in New York,1992,1990s,Comedy,High,18000000.0,358991681.0,1894.3982277777775,6.9,33.0,61.0
Someone to Watch Over Me,1987,1980s,Crime,Mid,17000000.0,10278549.0,-39.53794705882353,6.1,67.0,41.0
Sparrows,1926,1920s,Drama,Low,463455.0,966878.0,108.62392249517212,7.3,,
Naturally Native,1999,1990s,Drama,Low,700000.0,10508.0,-98.49885714285716,6.4,,
Fight Club,1999,1990s,Drama,Blockbuster,63000000.0,100853753.0,60.085322222222224,8.8,79.0,96.0
The Story of Us,1999,1990s,Comedy,Blockbuster,50000000.0,58900031.0,17.800062,6.0,26.0,58.0
Time Bandits,1981,1980s,Family,Low,5000000.0,42365581.0,747.31162,6.9,90.0,77.0
Crimes and Misdemeanors,1989,1980s,Comedy,High,19000000.0,18254702.0,-3.9226210526315786,7.8,,
The Best Man,1999,1990s,Drama,Mid,9000000.0,34573780.0,284.1531111111111,6.8,72.0,86.0
RoboCop,1987,1980s,Action,Mid,13000000.0,53000000.0,307.69230769230774,7.6,90.0,84.0
RoboCop 2,1990,1990s,Action,High,35000000.0,45681173.0,30.51763714285714,5.8,30.0,36.0
Who Framed Roger Rabbit,1988,1980s,Fantasy,Blockbuster,70000000.0,329803958.0,371.14851142857145,7.7,97.0,84.0
For Your Eyes Only,1981,1980s,Adventure,High,28000000.0,195312802.0,597.5457214285714,6.7,71.0,64.0
Licence to Kill,1989,1980s,Adventure,High,32000000.0,156167015.0,388.021921875,6.7,78.0,61.0
Live and Let Die,1973,1970s,Adventure,Mid,7000000.0,161777836.0,2211.111942857143,6.7,66.0,64.0
Thunderball,1965,1960s,Adventure,Low,5500000.0,141195658.0,2467.193781818182,6.9,86.0,73.0
House on Haunted Hill,1999,1990s,Horror,High,19000000.0,40846082.0,114.97937894736845,5.6,88.0,73.0
Music of the Heart,1999,1990s,Drama,High,27000000.0,14859394.0,-44.96520740740741,6.7,63.0,72.0
Being John Malkovich,1999,1990s,Fantasy,Mid,13000000.0,22863596.0,75.87381538461538,7.7,93.0,87.0
Princess Mononoke,1997,1990s,Adventure,High,26500000.0,159375308.0,501.4162566037736,8.3,,
The Bachelor,1999,1990s,Comedy,Blockbuster,51000000.0,36911617.0,-27.624280392156862,5.1,9.0,28.0
The Bone Collector,1999,1990s,Drama,Blockbuster,73000000.0,151493655.0,107.52555479452054,6.7,29.0,63.0
The Insider,1999,1990s,Drama,Blockbuster,90000000.0,60289912.0,-33.01120888888889,7.8,96.0,90.0
Creepshow,1982,1980s,Horror,Mid,8000000.0,21028755.0,162.8594375,6.8,73.0,68.0
Creepshow 2,1987,1980s,Horror,Low,3500000.0,14000000.0,300.0,6.1,30.0,40.0
Re-Animator,1985,1980s,Science Fiction,Low,900000.0,2023414.0,124.82377777777778,7.1,93.0,82.0
Drugstore Cowboy,1989,1980s,Crime,Low,2500000.0,4729352.0,89.17408,7.2,100.0,85.0
Falling Down,1993,1990s,Crime,High,25000000.0,40903593.0,63.614372,7.5,73.0,84.0
My Best Girl,1927,1920s,Drama,Low,483103.0,1027757.0,112.74076128693054,7.4,,
Nighthawks,1981,1980s,Action,Low,5000000.0,19905359.0,298.10718,6.3,70.0,54.0
Spaceballs,1987,1980s,Comedy,High,22700000.0,38119483.0,67.92723788546256,7.1,58.0,83.0
Robin Hood,1973,1970s,Animation,Mid,15000000.0,32056467.0,113.70978,7.5,54.0,81.0
Quest for Fire,1981,1980s,Adventure,Mid,12000000.0,55260558.0,360.50465,7.3,86.0,75.0
Little Big Man,1970,1970s,Adventure,Mid,15000000.0,31559552.0,110.39701333333332,7.5,96.0,87.0
Trading Places,1983,1980s,Comedy,Blockbuster,40600000.0,90400000.0,122.66009852216747,7.5,87.0,84.0
Under the Rainbow,1981,1980s,Comedy,High,20000000.0,2297493.0,-88.512535,5.3,,
Anywhere But Here,1999,1990s,Drama,High,23000000.0,18653615.0,-18.89732608695652,6.2,64.0,55.0
Dogma,1999,1990s,Fantasy,Mid,10000000.0,30652890.0,206.5289,7.3,,
The Messenger: The Story of Joan of Arc,1999,1990s,Adventure,Blockbuster,60000000.0,66976317.0,11.627195,6.4,30.0,58.0
Pokémon: The First Movie: Mewtwo Strikes Back,1998,1990s,Animation,High,30000000.0,163644662.0,445.4822066666667,6.4,,
The Longest Day,1962,1960s,Action,Mid,10000000.0,50100000.0,401.0,7.7,87.0,90.0
Tora! Tora! Tora!,1970,1970s,History,High,25485000.0,29548291.0,15.943853247008043,7.5,55.0,81.0
Women on the Verge of a Nervous Breakdown,1988,1980s,Comedy,Low,700000.0,7179298.0,925.614,7.5,,
The Verdict,1982,1980s,Drama,Mid,16000000.0,53977250.0,237.3578125,7.7,88.0,88.0
Sleepy Hollow,1999,1990s,Drama,Blockbuster,100000000.0,206071502.0,106.071502,7.3,69.0,80.0
The World Is Not Enough,1999,1990s,Adventure,Blockbuster,135000000.0,361832400.0,168.024,6.4,52.0,49.0
All About My Mother,1999,1990s,Comedy,Mid,8272296.0,67872296.0,720.4771202577857,7.8,,
Bicycle Thieves,1948,1940s,Drama,Low,133000.0,361712.0,171.9639097744361,8.2,,
Matewan,1987,1980s,Drama,Low,4000000.0,1680358.0,-57.99105,7.9,,
The Natural,1984,1980s,Drama,High,28000000.0,47951979.0,71.25706785714286,7.4,81.0,88.0
Fatal Attraction,1987,1980s,Romance,Mid,14000000.0,320145693.0,2186.75495,6.9,76.0,72.0
Stanley & Iris,1990,1990s,Drama,High,23000000.0,5820015.0,-74.69558695652174,6.4,33.0,48.0
Midnight Run,1988,1980s,Adventure,High,30000000.0,38413606.0,28.04535333333333,7.5,94.0,87.0
Backdraft,1991,1990s,Action,Blockbuster,75000000.0,152368585.0,103.15811333333332,6.7,,
The Fisher King,1991,1990s,Comedy,High,24000000.0,41895491.0,74.56454583333333,7.5,84.0,86.0
The River,1984,1980s,Drama,High,18000000.0,11500000.0,-36.11111111111111,6.3,92.0,79.0
End of Days,1999,1990s,Action,Blockbuster,100000000.0,211989043.0,111.989043,5.8,11.0,32.0
Toy Story 2,1999,1990s,Animation,Blockbuster,90000000.0,497366869.0,452.6298544444445,7.9,100.0,86.0
Ride with the Devil,1999,1990s,Drama,High,38000000.0,635096.0,-98.32869473684212,6.7,64.0,66.0
Tumbleweeds,1999,1990s,Comedy,Low,312000.0,1281176.0,310.6333333333333,6.7,82.0,65.0
The End of the Affair,1999,1990s,Drama,High,23000000.0,10827816.0,-52.92253913043479,7.0,67.0,74.0
The Bonfire of the Vanities,1990,1990s,Comedy,Blockbuster,47000000.0,15691192.0,-66.61448510638299,5.6,16.0,26.0
The Two Jakes,1990,1990s,Crime,High,19000000.0,10000000.0,-47.368421052631575,6.1,65.0,38.0
Deuce Bigalow: Male Gigolo,1999,1990s,Comedy,Mid,17000000.0,65535067.0,285.50039411764703,5.7,22.0,42.0
The Green Mile,1999,1990s,Fantasy,Blockbuster,60000000.0,284600000.0,374.3333333333333,8.6,78.0,94.0
The Cider House Rules,1999,1990s,Drama,High,24000000.0,88545092.0,268.93788333333333,7.4,71.0,77.0
The Last Picture Show,1971,1970s,Drama,Low,1300000.0,29133000.0,2141.0,8.0,100.0,90.0
Bicentennial Man,1999,1990s,Comedy,Blockbuster,100000000.0,93700000.0,-6.3,6.9,36.0,58.0
Stuart Little,1999,1990s,Animation,Blockbuster,133000000.0,300135367.0,125.6656894736842,6.0,67.0,41.0
Fantasia 2000,1999,1990s,Animation,Blockbuster,80000000.0,90874570.0,13.593212499999998,7.1,81.0,75.0
Magnolia,1999,1990s,Drama,High,37000000.0,48451803.0,30.95081891891892,8.0,83.0,89.0
Onegin,1999,1990s,Drama,Mid,14000000.0,206128.0,-98.52765714285714,6.8,,
Simpatico,1999,1990s,Comedy,Mid,10000000.0,929606.0,-90.70394,4.7,25.0,14.0
Any Given Sunday,1999,1990s,Drama,Blockbuster,55000000.0,100230832.0,82.23787636363636,6.9,52.0,73.0
Man on the Moon,1999,1990s,Comedy,Blockbuster,82000000.0,47434430.0,-42.153134146341465,7.4,63.0,79.0
Galaxy Quest,1999,1990s,Comedy,Blockbuster,45000000.0,90683916.0,101.51981333333332,7.4,90.0,79.0
The Talented Mr. Ripley,1999,1990s,Thriller,High,40000000.0,128798265.0,221.9956625,7.4,83.0,80.0
Next Friday,2000,2000s,Comedy,Mid,11000000.0,59827328.0,443.8848,6.2,22.0,76.0
The Hurricane,1999,1990s,Drama,Blockbuster,50000000.0,73956241.0,47.912482,7.6,83.0,87.0
Play It to the Bone,1999,1990s,Comedy,High,24000000.0,8434146.0,-64.857725,5.5,11.0,25.0
Supernova,2000,2000s,Horror,Blockbuster,90000000.0,14828081.0,-83.52435444444446,4.9,10.0,17.0
The Terrorist,1998,1990s,Drama,Low,24554.0,140021.0,470.2573918709782,7.0,,
Papillon,1973,1970s,Crime,Mid,12000000.0,53267000.0,343.89166666666665,8.0,79.0,90.0
Dead Calm,1989,1980s,Crime,Mid,10000000.0,7825000.0,-21.75,6.8,83.0,63.0
Fast Times at Ridgemont High,1982,1980s,Comedy,Low,4500000.0,27092880.0,502.064,7.1,76.0,80.0
A Cry in the Dark,1988,1980s,Drama,Mid,15000000.0,6908797.0,-53.94135333333333,6.9,,
Batman: Mask of the Phantasm,1993,1990s,Action,Low,6000000.0,5617391.0,-6.376816666666667,7.8,84.0,88.0
Poison,1991,1990s,Drama,Low,250000.0,609524.0,143.80960000000002,6.3,77.0,68.0
Isn't She Great,2000,2000s,Drama,High,36000000.0,3003296.0,-91.6575111111111,5.4,25.0,38.0
Malcolm X,1992,1990s,Drama,High,34000000.0,48169908.0,41.6762,7.7,88.0,91.0
Sister Act,1992,1990s,Music,High,31000000.0,231605150.0,647.1133870967742,6.6,74.0,65.0
Sister Act 2: Back in the Habit,1993,1990s,Music,High,38000000.0,57319029.0,50.83955,5.8,17.0,61.0
The Hand that Rocks the Cradle,1992,1990s,Thriller,Mid,11700000.0,88036683.0,652.450282051282,6.7,63.0,61.0
Alive,1993,1990s,Action,High,32000000.0,36733909.0,14.793465625,7.1,59.0,68.0
Scent of a Woman,1992,1990s,Drama,High,31000000.0,134095253.0,332.56533225806453,8.0,89.0,92.0
Wayne's World,1992,1990s,Music,High,20000000.0,121697323.0,508.486615,7.0,84.0,84.0
A League of Their Own,1992,1990s,Comedy,High,40000000.0,107458785.0,168.6469625,7.4,78.0,84.0
Patriot Games,1992,1990s,Drama,Blockbuster,45000000.0,178051587.0,295.6701933333334,6.8,73.0,73.0
The Bodyguard,1992,1990s,Thriller,High,25000000.0,411006740.0,1544.02696,6.4,33.0,64.0
Death Becomes Her,1992,1990s,Fantasy,Blockbuster,55000000.0,149022650.0,170.95027272727273,6.7,54.0,61.0
Far and Away,1992,1990s,Adventure,Blockbuster,60000000.0,137783840.0,129.63973333333334,6.6,50.0,62.0
Twin Peaks: Fire Walk with Me,1992,1990s,Drama,Mid,10000000.0,4160851.0,-58.391490000000005,7.3,,
Buffy the Vampire Slayer,1992,1990s,Action,Mid,7000000.0,16624456.0,137.49222857142857,5.7,35.0,43.0
El Mariachi,1992,1990s,Action,Low,220000.0,2040920.0,827.6909090909091,6.8,93.0,76.0
Bad Lieutenant,1992,1990s,Crime,Low,1000000.0,2019469.0,101.9469,7.0,77.0,73.0
Scream 3,2000,2000s,Horror,High,40000000.0,161834276.0,304.58569,5.7,39.0,37.0
Single White Female,1992,1990s,Thriller,Mid,16000000.0,48017402.0,200.1087625,6.4,54.0,44.0
The Boondock Saints,1999,1990s,Action,Low,6000000.0,30471.0,-99.49215,7.6,28.0,91.0
Gun Shy,2000,2000s,Action,Mid,10000000.0,1631839.0,-83.68160999999999,5.6,26.0,36.0
The Beach,2000,2000s,Drama,High,40000000.0,144056873.0,260.1421825,6.6,20.0,57.0
The Tigger Movie,2000,2000s,Animation,High,30000000.0,45554533.0,51.848443333333336,6.4,62.0,62.0
Trois,2000,2000s,Drama,Low,200000.0,1160268.0,480.134,4.0,,
Boiler Room,2000,2000s,Crime,High,26000000.0,28780255.0,10.693288461538462,7.0,66.0,78.0
Hanging Up,2000,2000s,Comedy,High,40000000.0,36037909.0,-9.9052275,4.9,12.0,34.0
Pitch Black,2000,2000s,Thriller,High,23000000.0,53187659.0,131.25069130434784,7.0,59.0,77.0
The Whole Nine Yards,2000,2000s,Comedy,Blockbuster,41300000.0,106371651.0,157.5584769975787,6.7,45.0,64.0
City Lights,1931,1930s,Comedy,Low,1500000.0,19181.0,-98.72126666666666,8.5,98.0,96.0
The Kid,1921,1920s,Comedy,Low,250000.0,2500000.0,900.0,8.2,100.0,95.0
Reindeer Games,2000,2000s,Thriller,Blockbuster,42000000.0,32168970.0,-23.40721428571429,5.8,,
3 Strikes,2000,2000s,Action,Low,6000000.0,9000000.0,50.0,4.7,,
Drowning Mona,2000,2000s,Comedy,Mid,16000000.0,15427192.0,-3.58005,5.7,29.0,46.0
The Next Best Thing,2000,2000s,Comedy,High,25000000.0,24362772.0,-2.548912,4.7,19.0,35.0
Beyond the Mat,1999,1990s,Documentary,Low,2053648.0,500000.0,-75.65308173552624,7.6,82.0,83.0
Birdy,1984,1980s,Drama,Mid,12000000.0,1400000.0,-88.33333333333333,7.2,85.0,84.0
Blood Feast,1963,1960s,Horror,Low,24500.0,4000000.0,16226.530612244898,5.0,38.0,44.0
Mission to Mars,2000,2000s,Science Fiction,Blockbuster,90000000.0,60874615.0,-32.361538888888894,5.7,24.0,30.0
The Ninth Gate,1999,1990s,Horror,High,38000000.0,58401898.0,53.68920526315789,6.7,43.0,57.0
Breaking Away,1979,1970s,Drama,Low,2300000.0,20000000.0,769.5652173913044,7.7,95.0,88.0
Hoosiers,1986,1980s,Drama,Mid,9000000.0,28607524.0,217.86137777777776,7.4,89.0,88.0
Bull Durham,1988,1980s,Comedy,Mid,7000000.0,50888000.0,626.9714285714285,7.0,97.0,82.0
Dog Day Afternoon,1975,1970s,Crime,Low,1800000.0,46665856.0,2492.5475555555554,8.0,96.0,90.0
American Graffiti,1973,1970s,Comedy,Low,777000.0,140000000.0,17918.018018018018,7.4,96.0,84.0
JFK,1991,1990s,Drama,High,40000000.0,205405498.0,413.513745,8.0,84.0,88.0
Blind Date,1987,1980s,Comedy,High,18000000.0,39321715.0,118.45397222222222,6.0,21.0,42.0
Nadine,1987,1980s,Action,Mid,12000000.0,5669831.0,-52.75140833333334,5.5,45.0,26.0
Titanic,1953,1950s,Drama,Low,1805000.0,4905000.0,171.74515235457065,7.0,91.0,66.0
Erin Brockovich,2000,2000s,Drama,Blockbuster,52000000.0,256271286.0,392.8293961538461,7.5,84.0,81.0
Final Destination,2000,2000s,Horror,High,23000000.0,53302314.0,131.74919130434785,6.7,35.0,68.0
Thelma & Louise,1991,1990s,Drama,Mid,16000000.0,45361000.0,183.50625,7.6,84.0,82.0
Animal House,1978,1970s,Comedy,Low,2700000.0,141000000.0,5122.222222222222,7.4,,
Do the Right Thing,1989,1980s,Drama,Mid,6500000.0,37295445.0,473.77607692307697,7.9,93.0,90.0
Mo' Better Blues,1990,1990s,Drama,Mid,10000000.0,16153593.0,61.53593000000001,6.7,71.0,75.0
Jungle Fever,1991,1990s,Drama,Mid,14000000.0,32482682.0,132.01915714285715,6.6,,
Death Wish,1974,1970s,Action,Low,3000000.0,22000000.0,633.3333333333333,6.9,68.0,68.0
Death Wish 2,1982,1980s,Action,Low,2000000.0,45000000.0,2150.0,6.0,,
Death Wish 3,1985,1980s,Action,Mid,9000000.0,16945171.0,88.27967777777778,5.8,11.0,54.0
Death Wish 5: The Face of Death,1994,1990s,Action,Low,5000000.0,1702394.0,-65.95212000000001,4.9,,
Double Indemnity,1944,1940s,Drama,Low,927262.0,2500000.0,169.61096216603292,8.3,97.0,95.0
Cool as Ice,1991,1990s,Drama,Low,6000000.0,1193062.0,-80.11563333333334,3.0,6.0,44.0
Teenage Mutant Ninja Turtles,1990,1990s,Science Fiction,Mid,13500000.0,202000000.0,1396.2962962962963,6.8,21.0,50.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,1990s,Science Fiction,High,25000000.0,78000000.0,212.0,6.0,,
Teenage Mutant Ninja Turtles III,1993,1990s,Action,High,21000000.0,42000000.0,100.0,4.8,23.0,34.0
Red Dawn,1984,1980s,Action,Low,4200000.0,38376497.0,813.726119047619,6.4,46.0,65.0
Band of the Hand,1986,1980s,Action,Mid,8700000.0,4865912.0,-44.06997701149425,6.2,11.0,60.0
Bloodsport,1988,1980s,Action,Low,1500000.0,11806119.0,687.0745999999999,6.8,40.0,74.0
Eyes of Laura Mars,1978,1970s,Drama,Mid,7000000.0,20000000.0,185.7142857142857,6.2,50.0,43.0
"Good Morning, Vietnam",1987,1980s,Comedy,Mid,13000000.0,123922370.0,853.2489999999999,7.3,90.0,82.0
Guess Who's Coming to Dinner,1967,1960s,Comedy,Low,4000000.0,56666667.0,1316.666675,7.8,70.0,85.0
Romeo Must Die,2000,2000s,Action,High,25000000.0,91036760.0,264.14704,6.1,32.0,61.0
Whatever It Takes,2000,2000s,Drama,Mid,15000000.0,9902115.0,-33.9859,5.5,16.0,45.0
Waking the Dead,2000,2000s,Drama,Mid,8500000.0,327418.0,-96.14802352941176,6.4,51.0,78.0
Hud,1963,1960s,Action,Low,2500000.0,10000000.0,300.0,7.8,82.0,89.0
The Hustler,1961,1960s,Drama,Low,2000000.0,7600000.0,280.0,7.9,98.0,93.0
Close Encounters of the Third Kind,1977,1970s,Science Fiction,High,20000000.0,303788635.0,1418.943175,7.6,94.0,85.0
Jacob's Ladder,1990,1990s,Drama,High,25000000.0,25965144.0,3.860576000000001,7.4,73.0,84.0
La Bamba,1987,1980s,Drama,Mid,6500000.0,54215416.0,734.0833230769231,7.0,91.0,78.0
Ladyhawke,1985,1980s,Adventure,High,20000000.0,18432000.0,-7.84,6.9,67.0,74.0
Lucas,1986,1980s,Comedy,Low,6000000.0,8200000.0,36.66666666666666,6.9,,
High Fidelity,2000,2000s,Comedy,High,30000000.0,47126295.0,57.08765,7.4,91.0,90.0
The Road to El Dorado,2000,2000s,Adventure,Blockbuster,95000000.0,76432727.0,-19.544497894736843,6.9,48.0,66.0
The Skulls,2000,2000s,Crime,Mid,15000000.0,35007180.0,133.3812,5.6,9.0,43.0
El Dorado,1966,1960s,Western,Low,4653000.0,6000000.0,28.949065119277883,7.5,100.0,87.0
Hook,1991,1990s,Adventure,Blockbuster,70000000.0,300854823.0,329.7926042857143,6.8,29.0,76.0
Midnight Express,1978,1970s,Drama,Low,2300000.0,35000000.0,1421.7391304347825,7.5,96.0,89.0
Misery,1990,1990s,Drama,High,20000000.0,61276872.0,206.38436,7.8,90.0,89.0
Mr. Saturday Night,1992,1990s,Drama,Blockbuster,43000000.0,13300000.0,-69.06976744186046,5.9,58.0,38.0
Murphy's Romance,1985,1980s,Comedy,Mid,13000000.0,30867525.0,137.4425,7.0,73.0,75.0
Network,1976,1970s,Drama,Low,3800000.0,23689877.0,523.4178157894737,8.1,91.0,93.0
No Way Out,1987,1980s,Action,Mid,15000000.0,35509515.0,136.73010000000002,7.1,91.0,72.0
The Outlaw Josey Wales,1976,1970s,Drama,Low,3700000.0,31800000.0,759.4594594594595,7.8,90.0,92.0
Black and White,1999,1990s,Drama,Mid,10000000.0,5241315.0,-47.586850000000005,5.0,20.0,26.0
Frequency,2000,2000s,Crime,High,31000000.0,68106245.0,119.69756451612903,7.4,70.0,81.0
Ready to Rumble,2000,2000s,Action,High,24000000.0,12372410.0,-48.44829166666666,5.4,23.0,52.0
Return to Me,2000,2000s,Romance,High,24000000.0,36609995.0,52.54164583333333,7.0,62.0,79.0
Rules of Engagement,2000,2000s,Action,Blockbuster,60000000.0,71000000.0,18.33333333333333,6.4,36.0,55.0
Force 10 from Navarone,1978,1970s,Action,Low,5000000.0,7230000.0,44.6,6.4,59.0,56.0
Arthur,1981,1980s,Comedy,Mid,7000000.0,95461682.0,1263.7383142857143,6.9,88.0,77.0
Bachelor Party,1984,1980s,Comedy,Low,6000000.0,38435947.0,540.5991166666666,6.3,,
Predator,1987,1980s,Science Fiction,High,18000000.0,98235548.0,445.7530444444444,7.8,81.0,87.0
The Prince of Tides,1991,1990s,Drama,High,30000000.0,74787599.0,149.29199666666665,6.8,69.0,70.0
American Psycho,2000,2000s,Thriller,Mid,7000000.0,34266564.0,389.52234285714286,7.6,69.0,85.0
Keeping the Faith,2000,2000s,Comedy,High,30000000.0,37036004.0,23.453346666666665,6.4,69.0,59.0
East Is East,1999,1990s,Comedy,Low,3800000.0,28200000.0,642.1052631578948,6.9,78.0,78.0
Marathon Man,1976,1970s,Thriller,Mid,6500000.0,21709020.0,233.98492307692308,7.4,81.0,81.0
Caddyshack,1980,1980s,Comedy,Low,6000000.0,39846344.0,564.1057333333333,7.2,73.0,87.0
Gossip,2000,2000s,Drama,Mid,14000000.0,5108820.0,-63.508428571428574,5.9,29.0,47.0
Love & Basketball,2000,2000s,Action,High,20000000.0,27728118.0,38.64059,7.2,,
